id,kpi1,kpi2,kpi3,kpi4,kpi5
51010,System Latency increased by 20%, Error rates rose by 15%, Uptime decreased by 5%, Throughput reduced by 10%,
50012,1. System Latency: Increased by 20%, \n2. Error Rates: Increased by 35%, \n3. Uptime: Decreased by 5%,\n4. Throughput: Decreased by 15%\n5. Newly generated log pattern detected.,
40009,Start string not found.,,,,
50009,System Latency, Error Rates, Uptime, Throughput, Newly Generated Log Pattern
41009,null,,,,
40007,,,,,
40011,,,,,
50008,Unavailable KPI information - Please provide the top 5 KPIs that are abnormal and NOT build related.,,,,
51012,System Latency, Error Rates, Uptime, Throughput (specific values required),
40005,N/A,,,,
40008,Start string not found.,,,,
41013,,,,,
50013,[KPI1], [KPI2], [KPI3], [KPI4], [KPI5]
40012,Start string not found.,,,,
50003,[KPI1],[KPI2],[KPI3],[KPI4],[KPI5]
40010,Start string not found.,,,,
51011,N/A (Insufficient data provided),,,,
41011,,,,,
50011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes,,,,
51009,Start string not found.,,,,
40003,system latency, request error rate, page load time, database query response time, session timeout frequency
41010,,,,,
40013,Start string not found.,,,,
50006,SCWARN algorithm identifies anomalies at the following timestamps: 1, 2024-10-07 13:24:00,,,
50010,SCWARN algorithm identifies anomalies at timestamps: 1, 2024-10-07 04:12:00 \n2, 2024-10-07 19:04:00 \n3, 2024-10-07 21:22:00 \n4, 2024-10-07 21:26:00 \n5, 2024-10-07 21:28:00
50004,Deleting White List by Mistake-Configuration Errors-Defective Software Changes,,,,
40004,Start string not found.,,,,
51013,The specific top 5 abnormal KPIs are not provided in the context. Please provide the list of KPIs and their deviations from normal values.,,,,
50007,Deleting White List by Mistake-Configuration Errors-Defective Software Changes,,,,
50005,[KPI1], [KPI2], [KPI3], [KPI4], [KPI5]
40006,Start string not found.,,,,
41012,,,,,
