id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.8933),tensor(0.8661)
40012,failure,normal,tensor(0.8805),tensor(0.4340)
50009,failure,failure,tensor(0.8514),tensor(0.8294)
40011,failure,normal,tensor(0.6035),tensor(0.4012)
40003,failure,normal,tensor(0.7300),tensor(0.4486)
51012,failure,failure,tensor(0.9136),tensor(0.7516)
40008,failure,normal,tensor(0.8061),tensor(0.5056)
50004,failure,failure,tensor(0.8879),tensor(0.9550)
40007,failure,normal,tensor(0.8032),tensor(0.4391)
50006,failure,failure,tensor(0.8263),tensor(0.7212)
41013,failure,normal,tensor(0.8820),tensor(0.5106)
50013,failure,failure,tensor(0.8865),tensor(0.8677)
50008,failure,failure,tensor(0.9066),tensor(0.8937)
40009,failure,normal,tensor(0.7986),tensor(0.4299)
51013,failure,failure,tensor(0.6820),tensor(0.7566)
40013,failure,normal,tensor(0.6969),tensor(0.5285)
51009,failure,failure,tensor(0.7847),tensor(0.7131)
51010,failure,failure,tensor(0.8353),tensor(0.7873)
40004,failure,normal,tensor(0.8263),tensor(0.3553)
50012,failure,failure,tensor(0.8414),tensor(0.7932)
40005,failure,normal,tensor(0.8252),tensor(0.4574)
50011,failure,failure,tensor(0.8474),tensor(0.6324)
50007,failure,failure,tensor(0.8694),tensor(0.7269)
40010,failure,normal,tensor(0.8548),tensor(0.6108)
40006,failure,normal,tensor(0.7377),tensor(0.4543)
41012,failure,normal,tensor(0.6779),tensor(0.4452)
41009,failure,normal,tensor(0.6885),tensor(0.4787)
51011,failure,failure,tensor(0.8148),tensor(0.7722)
41010,failure,normal,tensor(0.7372),tensor(0.5023)
50010,failure,failure,tensor(0.8328),tensor(0.7635)
41011,failure,normal,tensor(0.8162),tensor(0.5358)
50003,failure,failure,tensor(0.7897),tensor(0.6948)
