id,ft
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50003,Network Traffic
50006,Resource Contention-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51009,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Network Traffic
50011,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Wrong IP Address-Configuration Errors-Defective Software Changes
