id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.2074),tensor(0.1927)
50005,failure,failure,tensor(0.6221),tensor(0.5564)
41012,normal,normal,tensor(0.5609),tensor(0.5384)
40008,normal,normal,tensor(0.4823),tensor(0.5978)
50007,failure,failure,tensor(0.8954),tensor(0.8767)
50004,failure,failure,tensor(0.5632),tensor(0.6474)
40012,normal,normal,tensor(0.3978),tensor(0.4140)
50010,failure,failure,tensor(0.5628),tensor(0.6624)
51013,failure,failure,tensor(0.6809),tensor(0.4150)
50011,failure,failure,tensor(0.5202),tensor(0.6506)
51009,failure,failure,tensor(0.1482),tensor(0.1769)
50012,failure,failure,tensor(0.9239),tensor(0.8543)
50008,failure,failure,tensor(0.8948),tensor(0.8211)
40007,normal,normal,tensor(0.7055),tensor(0.6273)
40003,normal,normal,tensor(0.9243),tensor(0.9602)
41009,normal,normal,tensor(0.4387),tensor(0.5780)
50009,failure,failure,tensor(0.7105),tensor(0.5839)
51010,failure,failure,tensor(0.8623),tensor(0.8697)
41010,normal,normal,tensor(0.3822),tensor(0.4363)
40004,normal,normal,tensor(0.8323),tensor(0.5976)
40013,normal,normal,tensor(0.7183),tensor(0.9246)
50013,failure,failure,tensor(0.8859),tensor(0.8317)
40005,normal,normal,tensor(0.6858),tensor(0.4325)
40006,normal,normal,tensor(0.4178),tensor(0.5780)
51011,failure,failure,tensor(0.8358),tensor(0.8469)
40010,normal,normal,tensor(0.2547),tensor(0.3989)
50006,failure,failure,tensor(0.5298),tensor(0.5826)
50003,failure,failure,tensor(0.8387),tensor(0.7713)
41013,normal,normal,tensor(0.8970),tensor(0.9021)
40009,normal,normal,tensor(0.9359),tensor(0.6875)
41011,normal,normal,tensor(0.3388),tensor(0.5780)
40011,normal,normal,tensor(0.8081),tensor(0.9602)
