id,ft
51010,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51011,Network Traffic
51013,Resource Contention-Defective Software Changes
50005,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50003,Resource Contention-Defective Software Changes
51012,Network Traffic
50013,Start string not found.
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
