id,ft
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50008,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51012,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51010,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50007,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50005,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51009,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50009,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50010,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50004,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50013,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50012,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
