id,change_type,real_type,reason_score,solution_score
40009,normal,normal,tensor(0.7170),tensor(0.6702)
40012,normal,normal,tensor(0.5248),tensor(0.4541)
51009,failure,failure,tensor(0.4006),tensor(0.3973)
41009,normal,normal,tensor(0.6388),tensor(0.8424)
51011,failure,failure,tensor(0.7873),tensor(0.7758)
50012,failure,failure,tensor(0.7359),tensor(0.5741)
50003,failure,failure,tensor(0.8911),tensor(0.7850)
41011,normal,normal,tensor(0.7323),tensor(0.7188)
40005,normal,normal,tensor(0.4912),tensor(0.4541)
50011,failure,failure,tensor(0.9319),tensor(0.7968)
41010,normal,normal,tensor(0.2105),tensor(0.3989)
51013,failure,failure,tensor(0.7505),tensor(0.7738)
40003,normal,normal,tensor(0.7943),tensor(0.8424)
51012,failure,failure,tensor(0.7695),tensor(0.3465)
40008,normal,normal,tensor(0.3909),tensor(0.5780)
50004,failure,failure,tensor(0.9393),tensor(0.8140)
40013,normal,normal,tensor(0.6783),tensor(0.7188)
50008,failure,failure,tensor(0.6349),tensor(0.5915)
41012,normal,normal,tensor(0.6850),tensor(0.7188)
50010,failure,failure,tensor(0.8046),tensor(0.7063)
41013,normal,normal,tensor(0.5169),tensor(0.5754)
40011,normal,normal,tensor(0.5141),tensor(0.4541)
40007,normal,normal,tensor(0.6854),tensor(0.8424)
51010,failure,failure,tensor(0.9429),tensor(0.8074)
40004,normal,normal,tensor(0.8031),tensor(0.8424)
40010,normal,normal,tensor(0.6779),tensor(0.8424)
40006,normal,normal,tensor(0.2105),tensor(0.3989)
50013,failure,failure,tensor(0.8417),tensor(0.9101)
50005,failure,failure,tensor(0.5647),tensor(0.6212)
50006,failure,failure,tensor(0.5454),tensor(0.5233)
50007,failure,failure,tensor(0.6514),tensor(0.5126)
50009,failure,failure,tensor(0.8827),tensor(0.9232)
