id,ft
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Resource Contention-Defective Software Changes
50008,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50003,Resource Contention-Defective Software Changes
50012,Network Traffic
50009,Wrong IP Address-Configuration Errors-Defective Software Changes
51010,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Network Traffic
50011,Network Traffic
50007,Resource Contention-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50010,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
