id,ft
50005,Resource Contention-Defective Software Changes
51011,"Network Traffic-Related Machine KPIs (e.g., CPU, memory)"
50004,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50003,Network Traffic
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Resource Contention-Defective Software Changes
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
50011,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Resource Contention-Defective Software Changes
