id,ft
51012,Resource Contention-Defective Software Changes
50005,Resource Contention-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
50011,Network Traffic
51009,Network Traffic
50012,Resource Contention-Defective Software Changes
50008,Network Traffic
50009,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Resource Contention-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
