id,change_type,real_type,reason_score,solution_score
50013,failure,failure,tensor(0.8198),tensor(0.7738)
50006,failure,failure,tensor(0.6047),tensor(0.8145)
41010,normal,normal,tensor(0.5711),tensor(0.4826)
40005,normal,normal,tensor(0.8916),tensor(0.6875)
40013,normal,normal,tensor(0.7669),tensor(0.7188)
40004,normal,normal,tensor(0.7134),tensor(0.8424)
40008,normal,normal,tensor(0.2105),tensor(0.3989)
50008,failure,failure,tensor(0.8512),tensor(0.7537)
51013,failure,failure,tensor(0.5068),tensor(0.5054)
41013,normal,normal,tensor(0.7089),tensor(0.7188)
50004,failure,failure,tensor(0.3320),tensor(0.3489)
50005,failure,failure,tensor(0.9060),tensor(0.8616)
40006,normal,normal,tensor(0.6842),tensor(0.5754)
41012,normal,normal,tensor(0.8892),tensor(0.6210)
50003,failure,failure,tensor(0.9457),tensor(0.8171)
40009,normal,normal,tensor(0.1955),tensor(0.3989)
50012,failure,failure,tensor(0.5769),tensor(0.3792)
50009,failure,failure,tensor(0.1811),tensor(0.1815)
51010,failure,failure,tensor(0.8678),tensor(0.7846)
51011,failure,failure,tensor(0.9309),tensor(0.8968)
50011,failure,failure,tensor(0.7907),tensor(0.6802)
50007,failure,failure,tensor(0.9752),tensor(0.8238)
51009,failure,failure,tensor(0.2527),tensor(0.2298)
40012,normal,normal,tensor(0.4050),tensor(0.5533)
40010,normal,normal,tensor(0.3994),tensor(0.5780)
40003,normal,normal,tensor(0.4171),tensor(0.4363)
40007,normal,normal,tensor(0.8445),tensor(0.7746)
50010,failure,failure,tensor(0.9394),tensor(0.6755)
51012,failure,failure,tensor(0.5523),tensor(0.5971)
41009,normal,normal,tensor(0.3909),tensor(0.5533)
41011,normal,normal,tensor(0.6763),tensor(0.9540)
40011,normal,normal,tensor(0.7510),tensor(0.8424)
