timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"", node=""10.200.67.207"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"", node=""10.200.67.207"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"", node=""10.200.67.207"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-rnshz"",metrics_path=""/metrics/cadvisor""} [1m]) * 100","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-81-5778cb86bf-rnshz"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)"
1700036400,256.8671875,2333166.6666666665,3469738.933333333,2333166.6666666665,9.021587195553971,15.139642729991465,1
1700036520,241.61328125,2991499.466666667,4139083.2,2991499.466666667,12.72995509778007,19.592025436662272,1
1700036640,241.6796875,1410208.5333333334,2088007.4666666666,1410208.5333333334,9.236274002226613,13.641605976663412,1
1700036760,234.46875,2519222.933333333,3804102.933333333,2519222.933333333,11.784227540006718,5.206132363333988,1
1700036880,237.984375,3079829.6,4654045.6,3079829.6,9.644293531115789,14.443121799995422,1
1700037000,237.21484375,1804280,2834975.466666667,1804280,8.333458048889751,14.03826942332671,1
1700037120,242.15625,2456038.6666666665,3492803.7333333334,2456038.6666666665,11.404238755551178,15.186276686666437,1
1700037240,238.68359375,2849428.8,4172065.6,2849428.8,10.704048291113901,17.085516616668126,1
1700037360,243.09765625,1462496,2186717.3333333335,1462496,12.034215095554828,16.91414847666844,1
1700037480,246.484375,2586355.7333333334,4019817.066666667,2586355.7333333334,7.0891802377850075,14.17029970334018,1
1700037600,234.83203125,2706185.6,3937206.933333333,2706185.6,9.820246508889896,19.203056646668603,1
1700037720,237.1328125,2282670.4,3238164,2282670.4,13.785183768890825,17.189044423333446,1
1700037840,244.98828125,2599444,4029145.066666667,2599444,11.492601986667271,15.285821173335231,1
1700037960,250.72265625,2626075.2,4107414.4,2626075.2,12.516314066661934,14.644736959999136,1
1700038080,246.82421875,3272272.8,4824225.866666666,3272272.8,10.171447877777002,16.105582526676397,1
1700038200,249.8671875,2485670.4,3826030.4,2485670.4,11.7645213755572,10.00481095333574,1
1700038320,240.66796875,1613930.4,2266510.933333333,1613930.4,13.077055948888303,18.441173280007206,1
1700038440,241.60546875,2719300,3942395.7333333334,2719300,13.847725213329088,17.406503933331503,1
1700038560,246.83203125,2407464,3197565.6,2407464,13.953265119998834,26.047966736672002,1
1700038680,241.01171875,1786353.8666666667,2195322.1333333333,1786353.8666666667,15.365701102224799,31.853142636658355,1
1700038800,240.0390625,3047220.8,4260850.666666667,3047220.8,13.151105088885137,21.530464356668137,1
1700038920,255.53125,3521349.6,4417365.066666666,3521349.6,15.019290399997972,19.679646273337614,1
1700039040,239.73828125,1463304.2666666666,2193527.466666667,1463304.2666666666,10.536249046668269,20.29617056999996,1
1700039160,253.19140625,2184146.375604066,3347190.9348441926,2184146.375604066,9.701099216799108,15.860775960670814,1
1700039280,235.15234375,2621583.466666667,4000502.1333333333,2621583.466666667,14.651759515553648,16.121045423339332,1
1700039400,237.65625,2323898.42708611,3446207.9445481207,2323898.42708611,9.945020116851824,16.455063703014638,1
1700039520,235.8671875,3211577.3333333335,4527443.2,3211577.3333333335,12.168147131111862,19.481234533341194,1
1700039640,242.41796875,2003916.2666666666,3010368.533333333,2003916.2666666666,11.224382048894768,18.154967939990456,1
1700039760,234.06640625,2838576.533333333,4119091.2,2838576.533333333,10.102650842220303,14.716456143335865,1
1700039880,236.1953125,2506482.6666666665,3763171.7333333334,2506482.6666666665,11.556050051116877,17.376708313325555,1
1700040000,244.65234375,2334591.2,3539313.6,2334591.2,13.46074155333756,19.713165300005738,1
1700040120,245.37890625,2703568.2666666666,3894538.933333333,2703568.2666666666,10.394839835555304,13.673348043327374,1
1700040240,236.765625,2495117.3333333335,3569462.4,2495117.3333333335,10.50735908667169,17.24038466333392,1
1700040360,244.359375,1309020.5333333334,1794964.5333333334,1309020.5333333334,9.968999877779021,14.672506930000964,1
1700040480,244.30078125,2587003.466666667,3687490.933333333,2587003.466666667,11.487430962224607,15.434308130000622,1
1700040600,240.25,1417788.5333333334,2165855.466666667,1417788.5333333334,16.65468710888591,15.808576216659276,1
1700040720,240.93359375,2507185.066666667,3585062.933333333,2507185.066666667,9.269882682217737,22.036137793329544,1
1700040840,236.49609375,1250978.1333333333,2013189.0666666667,1250978.1333333333,9.471139586659977,17.234981316675356,1
1700040960,238.25390625,1993175.7333333334,3218735.7333333334,1993175.7333333334,10.010690411112995,12.747110956673472,1
1700041080,250.1875,2577666.1333333333,3742382.4,2577666.1333333333,13.737364748893825,20.752486256666693,1
