id,ft
50012,Resource Contention-Defective Software Changes
51012,Resource Contention-Defective Software Changes
50006,Network Traffic
51009,Resource Contention-Defective Software Changes
50013,Resource Contention-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50003,Resource Contention-Defective Software Changes
50011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50009,Start string not found.
50005,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Resource Contention-Defective Software Changes
50004,Network Traffic
50008,Network Traffic
51010,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
