id,ft
50013,Resource Contention-Defective Software Changes
50006,Resource Contention-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50005,Resource Contention-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Wrong IP Address-Configuration Errors-Defective Software Changes
51010,Network Traffic
51011,Network Traffic
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
