id,ft
50012,Network Traffic
51012,Resource Contention-Defective Software Changes
50006,Network Traffic
51009,Network Traffic
50013,Resource Contention-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
50011,Start string not found.
50009,Start string not found.
50005,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
51010,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
