id,ft
51009,Resource Contention-Defective Software Changes
51011,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50003,Network Traffic
50011,Resource Contention-Defective Software Changes
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50008,Network Traffic
50010,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Network Traffic-Resource Contention-Defective Software Changes
50005,Resource Contention-Defective Software Changes
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
