id,FT
40006,Expected Software Changes
51013,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
40012,Expected Software Changes
40010,Expected Software Changes
41012,Expected Software Changes
51011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
41011,Expected Software Changes
40013,Expected Software Changes
40007,Expected Software Changes
50008,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
40005,Expected Software Changes
51012,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51010,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
40009,Expected Software Changes
41013,Expected Software Changes
50007,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
40003,Expected Software Changes
41010,Expected Software Changes
50005,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
40011,Expected Software Changes
40008,Expected Software Changes
50003,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50006,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51009,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50011,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50009,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50004,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50013,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50012,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
41009,Expected Software Changes
40004,Expected Software Changes
