id,change_type,real_type,reason_score,solution_score
<built-in function id>,failure,failure,tensor(0.3994),tensor(0.0753)
<built-in function id>,failure,failure,tensor(0.4509),tensor(0.0062)
<built-in function id>,failure,failure,tensor(0.4287),tensor(0.0749)
<built-in function id>,failure,failure,tensor(0.4023),tensor(-0.0195)
<built-in function id>,failure,failure,tensor(0.4853),tensor(0.0035)
<built-in function id>,failure,failure,tensor(0.5582),tensor(0.0117)
<built-in function id>,failure,failure,tensor(0.4631),tensor(0.1081)
<built-in function id>,failure,failure,tensor(0.4154),tensor(0.0735)
<built-in function id>,failure,failure,tensor(0.3427),tensor(0.0534)
<built-in function id>,failure,failure,tensor(0.3786),tensor(-0.0062)
<built-in function id>,failure,failure,tensor(0.4088),tensor(0.0749)
<built-in function id>,failure,failure,tensor(0.4199),tensor(0.1612)
<built-in function id>,failure,failure,tensor(0.4532),tensor(0.0142)
<built-in function id>,failure,failure,tensor(0.7828),tensor(0.8115)
<built-in function id>,failure,failure,tensor(0.7697),tensor(0.7392)
<built-in function id>,failure,failure,tensor(0.5345),tensor(0.6504)
<built-in function id>,failure,failure,tensor(0.7697),tensor(0.7392)
<built-in function id>,failure,failure,tensor(0.7828),tensor(0.8115)
<built-in function id>,failure,failure,tensor(0.7828),tensor(0.8115)
<built-in function id>,failure,failure,tensor(0.6842),tensor(0.7748)
<built-in function id>,failure,failure,tensor(0.5999),tensor(0.6833)
<built-in function id>,failure,failure,tensor(0.7828),tensor(0.8115)
<built-in function id>,failure,failure,tensor(0.7697),tensor(0.7392)
<built-in function id>,failure,failure,tensor(0.7762),tensor(0.8115)
<built-in function id>,failure,failure,tensor(0.4139),tensor(0.0120)
<built-in function id>,failure,failure,tensor(0.4729),tensor(0.0730)
<built-in function id>,failure,failure,tensor(0.4781),tensor(-0.0022)
<built-in function id>,failure,failure,tensor(0.4086),tensor(0.0999)
<built-in function id>,failure,failure,tensor(0.4178),tensor(0.0632)
<built-in function id>,failure,failure,tensor(0.4494),tensor(0.0259)
<built-in function id>,failure,failure,tensor(0.4282),tensor(0.0498)
