id,change_type,real_type,reason_score,solution_score
50012,failure,failure,tensor(0.7257),tensor(0.8796)
51012,failure,failure,tensor(0.2851),tensor(0.3512)
40007,normal,normal,tensor(0.9326),tensor(0.6213)
50006,failure,failure,tensor(0.3239),tensor(0.3479)
41011,normal,normal,tensor(0.1725),tensor(0.3105)
51009,failure,failure,tensor(0.3532),tensor(0.3831)
50013,failure,failure,tensor(0.4131),tensor(0.3759)
41012,normal,normal,tensor(0.2331),tensor(0.2293)
40006,normal,normal,tensor(0.1671),tensor(0.4136)
40003,normal,normal,tensor(0.1559),tensor(0.3495)
40011,normal,normal,tensor(0.2560),tensor(0.3989)
40009,normal,normal,tensor(0.2245),tensor(0.3989)
50007,failure,failure,tensor(0.6585),tensor(0.7538)
50003,failure,failure,tensor(0.3241),tensor(0.3898)
40005,normal,normal,tensor(0.1959),tensor(0.4435)
50011,failure,failure,tensor(0.5637),tensor(0.4593)
50009,normal,failure,tensor(0.1350),tensor(0.2660)
40008,normal,normal,tensor(0.2612),tensor(0.3989)
40013,normal,normal,tensor(1.),tensor(0.9540)
50005,failure,failure,tensor(0.6873),tensor(0.6964)
51011,failure,failure,tensor(0.8105),tensor(0.8010)
40012,normal,normal,tensor(0.2902),tensor(0.3989)
41010,normal,normal,tensor(0.2367),tensor(0.3989)
40010,normal,normal,tensor(0.2312),tensor(0.3989)
50010,failure,failure,tensor(0.2639),tensor(0.3453)
50004,failure,failure,tensor(0.2879),tensor(0.1068)
50008,failure,failure,tensor(0.2914),tensor(0.3957)
51010,failure,failure,tensor(0.6821),tensor(0.6015)
41013,normal,normal,tensor(0.9524),tensor(0.6210)
41009,normal,normal,tensor(0.1410),tensor(0.3989)
51013,failure,failure,tensor(0.3297),tensor(0.3036)
40004,normal,normal,tensor(0.2963),tensor(0.5533)
