id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.3711),tensor(0.2914)
40012,normal,normal,tensor(0.4954),tensor(0.4541)
50009,failure,failure,tensor(0.7047),tensor(0.6729)
40011,normal,normal,tensor(0.3909),tensor(0.5780)
40003,normal,normal,tensor(0.3909),tensor(0.5780)
51012,failure,failure,tensor(0.2783),tensor(0.1876)
40008,normal,normal,tensor(0.2105),tensor(0.3989)
50004,failure,failure,tensor(0.1940),tensor(0.1664)
40007,normal,normal,tensor(0.6821),tensor(0.4541)
50006,failure,failure,tensor(0.2512),tensor(0.3060)
41013,normal,normal,tensor(0.5521),tensor(0.5754)
50013,failure,failure,tensor(0.8008),tensor(0.5451)
50008,failure,failure,tensor(0.2613),tensor(0.2021)
40009,normal,normal,tensor(0.6279),tensor(0.5754)
51013,failure,failure,tensor(0.5636),tensor(0.6873)
40013,normal,normal,tensor(0.5493),tensor(0.5978)
51009,failure,failure,tensor(0.3141),tensor(0.3266)
51010,failure,failure,tensor(0.3390),tensor(0.3245)
40004,normal,normal,tensor(0.3909),tensor(0.5533)
50012,failure,failure,tensor(0.7018),tensor(0.5876)
40005,normal,normal,tensor(0.3909),tensor(0.5533)
50011,failure,failure,tensor(0.1904),tensor(0.3798)
50007,failure,failure,tensor(0.7344),tensor(0.6963)
40010,normal,normal,tensor(0.4649),tensor(0.4447)
40006,normal,normal,tensor(0.3909),tensor(0.5780)
41012,normal,normal,tensor(0.2105),tensor(0.3989)
41009,normal,normal,tensor(0.5346),tensor(0.5922)
51011,failure,failure,tensor(0.6048),tensor(0.5049)
41010,normal,normal,tensor(0.3863),tensor(0.5533)
50010,failure,failure,tensor(0.3344),tensor(0.3062)
41011,normal,normal,tensor(0.7145),tensor(0.5189)
50003,failure,failure,tensor(0.5291),tensor(0.5478)
