数据集名称,异常情况,指标名称
5ba6ab86f8a2f6caa5badcb323af7470,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
2140df0504a57d2196c7caab07e8bb18,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj1-rd-bkverify-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
4f5782cbfe587a191607ac783de175a1,出现异常,"(sum(increase(std_grpc_server_handling_seconds_bucket{le='5',job=""be/bkverify"",environment=""prod"", grpc_method!=""ServerReflectionInfo""}[2m]))  by(job) / sum(increase(std_grpc_server_handling_seconds_bucket{le='+Inf',job=""be/bkverify"",environment=""prod"", grpc_method!=""ServerReflectionInfo""}[2m]))  by(job) or vector(1)) *100"
6138551ff8270cc744afc13ddbc81e42,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-bkverify-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-bkverify-prod-01""}))*100"
6a79addf2946d311c5d229e7f8e6d254,正常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
d537e63cc3bbdd9d0aa906a378c11230,出现异常,"increase(http_service_level_sli_result_count_total{job=""be/bkverify""}[2m])"
139adb9863eb4212184b83c8c1e97cbe,出现异常,"node_sockstat_TCP_inuse{hostname=~""bj3-rd-bkverify-prod-02""}"
d3985c1a035ab785a9938cc409279c78,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-bkverify-prod-03""}[2m])"
c1bee73a840d75957ec66834fd9fdb61,出现异常,"node_load1{hostname=~""bj1-rd-bkverify-prod-01""}"
278543c40103fd9282ff0228c4402748,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj3-rd-bkverify-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
e2ce4adefa7607be0d0a3cae631bafcf,出现异常,"node_sockstat_TCP_tw{hostname=~""bj3-rd-bkverify-prod-02""}"
c129b690a71417807e32cc55345c3eb6,出现异常,"node_load15{hostname=~""bj1-rd-bkverify-prod-03""}"
e622af37eae72a0d394388c3e02bb795,出现异常,"irate(node_disk_reads_completed_total{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
6777d38dbcaff32dc97bf94f7039cea5,出现异常,"node_load15{hostname=~""bj1-rd-bkverify-prod-01""}"
08edb545c5331fbd6bb88080cb2459df,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-bkverify-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-bkverify-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""})"
d0c96b4d246ad2281f34a3f0af4b05c8,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-bkverify-prod-03""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-bkverify-prod-03""}))*100"
d654113751e96b2c66ed2ab6bf87abb5,出现异常,"increase(http_service_level_sli_result_error_ratio_total{job=""be/bkverify""}[2m])"
56d2c4cc165e5c9e0f6638136d95adbe,正常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-bkverify-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-bkverify-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""})"
9115a95bd9d89ff6c1da1e33b30b7299,正常,"node_sockstat_TCP_inuse{hostname=~""bj1-rd-bkverify-prod-01""}"
c194d0c7ac92cec81ecf41a9d07a4ad1,出现异常,ShuJuBao - <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:realName:> <:idCard:> - <:ERRORPOST:>
ad921d60486366258809553a3db49a4a,出现异常,unknown
65c03100ef0b8cd587769425c7393ff1,正常,"probe_duration_seconds{hostname=~""bj1-rd-bkverify-prod-03""}"
18ab6592b7b64cc71d7449f2f1a63321,出现异常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-bkverify-prod-03""}"
ee828fbd1096452d98cf035c7d24d561,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
58185c10e74e34d4dab0e4db90d78b5e,出现异常,"node_sockstat_TCP_tw{hostname=~""bj1-rd-bkverify-prod-01""}"
7de1c7b6e0a6be26532beccc2cfade3e,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj1-rd-bkverify-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
f64763ae8a800b86a059614b89cc355b,出现异常,"1-sum(increase(std_grpc_server_handled_total{job=""be/bkverify"",biz_code=""6000"",environment=""prod"",grpc_code=~""Unknown|OK""}[2m]) or increase(std_grpc_server_handled_total{job=""be/bkverify"",environment=""prod"",grpc_code!~""Unknown|OK""}[2m]))/sum(increase(std_grpc_server_handled_total{job=""be/bkverify"",environment=""prod""}[2m])) or vector(1)"
b746724b2689bbe1d88264f57287f7fa,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
51cba14e7e6ed6e119e5b8a000e849ec,出现异常,pyroscope upload profile: do http <:RequestPost:>
34c40fe551cc01b93d1b076b74494829,出现异常,"node_load15{hostname=~""bj3-rd-bkverify-prod-02""}"
74df533acc0950f2fc8a6f0cad2a2b54,出现异常,"probe_duration_seconds{hostname=~""bj1-rd-bkverify-prod-01""}"
abf831a70937fc9eaa1d6b0a197a61aa,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-bkverify-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-bkverify-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
816b542d73a25c17c276c04dc8e53e31,出现异常,"node_sockstat_TCP_alloc{hostname=~""bj1-rd-bkverify-prod-01""}"
bb5546636c2583a564ff0a306841fef2,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
08fa5d9a7e43c57ab483a82a35eb0098,出现异常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-bkverify-prod-03""}[2m])"
c123432bea147b48759e66fa6583f57e,出现异常,"node_load5{hostname=~""bj1-rd-bkverify-prod-01""}"
71a89ab3bd66d66279383c53d5f16394,出现异常,"irate(node_disk_writes_completed_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
5ad858be27d84d1f7b454eb8be772f62,出现异常,"1- ((sum(increase(std_requests_total{job=""be/bkverify"",code=""200"",environment=""prod"", bizcode=""6000""}[2m]) or increase(std_requests_total{job=""be/bkverify"",environment=""prod"", code=~""5..""}[2m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/bkverify"",environment=""prod""}[2m])))"
42cdcc94836a1302089e7a5198f5adb4,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-bkverify-prod-03"", mode=~""idle""}[2m])) by (mode, hostname)"
9322a13a37a82c5792f5027dfe4acacd,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-bkverify-prod-03""}[2m])"
a9a7bc412ba6b85ad5d9b28f655d1f31,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-bkverify-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
37698499bc8f53d157b7385eb9a075ec,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
719d3c0d61dbe1d71794387205528d2b,正常,"node_sockstat_TCP_alloc{hostname=~""bj3-rd-bkverify-prod-02""}"
c86553fabb6c188fe9f849353dc2f34a,出现异常,<:ControlInfo:>
ddcdc935cc09813860f8536dcc60c2a2,出现异常,"irate(node_disk_reads_completed_total{hostname=~""bj1-rd-bkverify-prod-03""}[2m])"
a321998086cf35da107d412c49b34023,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-bkverify-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)"
82a4d9b13626724d3a814bfdc3f22a53,出现异常,"increase(http_service_level_sli_result_duration_le5_total{job=""be/bkverify""}[2m])"
e6a1a8942d38e47d21ed6ec3c2a81e4a,出现异常,"node_sockstat_TCP_inuse{hostname=~""bj1-rd-bkverify-prod-03""}"
c400623da5241ed3a2c259ddebc0dc2e,出现异常,"irate(node_disk_reads_completed_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
2fd42aca56450e5cee83f32a42415798,出现异常,"node_sockstat_TCP_alloc{hostname=~""bj1-rd-bkverify-prod-03""}"
71ba7c65e686e12f63d914a508d6f28d,出现异常,"node_load1{hostname=~""bj3-rd-bkverify-prod-02""}"
90e1df3dd89e5ebf5fa301608a6260bd,出现异常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
74bd1033a21d4e82ae38beafee7f702b,出现异常,"1-((sum(increase(std_requests_total{job=""be/bkverify"",code=""200"",bizcode=""6000""}[2m]) or increase(std_requests_total{job=""be/bkverify"",code=~""5..""}[2m]))  or  vector(0)) / (((100-99.99)/100)* sum(increase(std_requests_total{job=""be/bkverify""}[2m]))))"
d41da63880aa940881a84b8c3a710112,出现异常,"sum(rate(std_requests_total{job=""be/bkverify"",code=""200"",environment=""prod""}[2m]))"
b5026f7b3f5c4ae062db7302f87c40b4,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-bkverify-prod-01"", mode=~""idle""}[2m])) by (mode, hostname)"
32cc48c55b44dec8cea55503dcda7ec2,出现异常,"irate(node_disk_written_bytes_total{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
48a44b796d2557e7b903ed1e3e56ed4d,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-bkverify-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
97cfbd911ec3c8b5f40a7cfd9a6b3457,出现异常,"sum(increase(std_requests_total{job=""be/bkverify"",code=""404"",environment=""prod""}[2m]))"
dc9e9e567b52e097ee441f4c01d0b424,出现异常,"node_load5{hostname=~""bj3-rd-bkverify-prod-02""}"
1960dd67260e0cab092f4453e455ea57,出现异常,"node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-bkverify-prod-02""}"
49ecb60223b566ce7274d666fcbb5b4e,正常,"node_sockstat_TCP_tw{hostname=~""bj1-rd-bkverify-prod-03""}"
1bf3032e04c9d0c83d5f3c89d8305db7,正常,"increase(http_service_level_sli_result_duration_total{job=""be/bkverify""}[2m])"
13ded9ee3c67cbfec8c9c902e39dc2c8,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-bkverify-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
567de9f6795291ff4663fe13d2ebd03a,出现异常,"node_load5{hostname=~""bj1-rd-bkverify-prod-03""}"
30f4fa23983408f000e06d30cfeeb93f,出现异常,"irate(node_disk_written_bytes_total{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
cbb7a70188908a0816603ddd399b705a,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
2e65b5e0765a62317950ccf13b6bf32c,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-bkverify-prod-01""}"
e04c0f5e8116f2f55779893360176408,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-bkverify-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-bkverify-prod-02""}))*100"
e3de1e5438c4099321bfa9562cff75ec,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-bkverify-prod-02""}[2m])"
798780c6736e1c2f8ca75412e846354c,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-bkverify-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-bkverify-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})"
642cea81e27b477495356366b82c665f,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-bkverify-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-bkverify-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
b6d8c1312b15f94cd4ca509ff8e97fc4,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-bkverify-prod-03""}[2m])"
44417cda678d8f80ff1a2cd8abba6d95,出现异常,callService
156f3dee117f25baecfd68164868d665,出现异常,"histogram_quantile(0.995,sum(rate(std_request_duration_seconds_bucket{job=""be/bkverify"",environment=""prod""}[2m])) by (job,le))"
627a6ff5f8bf5fddfa924a45c3ead74e,正常,"probe_duration_seconds{hostname=~""bj3-rd-bkverify-prod-02""}"
046cfb3da1ac52a0a443e5e0c958361b,正常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-bkverify-prod-01""}[2m])"
