id,ft
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
50011,Network Traffic
51009,Resource Contention-Defective Software Changes
50012,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Wrong IP Address-Configuration Errors-Defective Software Changes
51010,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Resource Contention-Defective Software Changes
50006,Network Traffic
50003,Resource Contention-Defective Software Changes
