id,ft
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Resource Contention-Defective Software Changes
51012,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51009,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50011,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50007,Network Traffic
50010,Resource Contention-Defective Software Changes
