id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.8010),tensor(0.7092)
51011,failure,failure,tensor(0.6281),tensor(0.6619)
40011,normal,normal,tensor(0.4510),tensor(0.5780)
41011,normal,normal,tensor(0.2105),tensor(0.3989)
50004,failure,failure,tensor(0.7630),tensor(0.5507)
50009,failure,failure,tensor(0.8515),tensor(0.8682)
40005,normal,normal,tensor(0.8318),tensor(0.7561)
41010,normal,normal,tensor(0.7878),tensor(0.7188)
40009,normal,normal,tensor(0.3174),tensor(0.5533)
50012,failure,failure,tensor(0.8725),tensor(0.6923)
50003,failure,failure,tensor(0.8856),tensor(0.7739)
50006,failure,failure,tensor(0.5487),tensor(0.6412)
50013,failure,failure,tensor(0.9484),tensor(0.9094)
51012,failure,failure,tensor(0.9516),tensor(0.8888)
51013,failure,failure,tensor(0.4245),tensor(0.4960)
41013,normal,normal,tensor(0.9365),tensor(0.7188)
40010,normal,normal,tensor(0.6666),tensor(0.7188)
40012,normal,normal,tensor(0.7172),tensor(0.8424)
40013,normal,normal,tensor(0.2965),tensor(0.5344)
40003,normal,normal,tensor(0.7770),tensor(0.7188)
51009,failure,failure,tensor(0.9151),tensor(0.9293)
50008,failure,failure,tensor(0.7959),tensor(0.5538)
50011,failure,failure,tensor(0.7997),tensor(0.8190)
51010,failure,failure,tensor(0.8298),tensor(0.9316)
40004,normal,normal,tensor(0.9108),tensor(0.7188)
40006,normal,normal,tensor(0.2105),tensor(0.4136)
50007,failure,failure,tensor(0.7907),tensor(0.7878)
40008,normal,normal,tensor(0.8303),tensor(0.7188)
40007,normal,normal,tensor(0.6321),tensor(0.6702)
41012,normal,normal,tensor(0.8184),tensor(0.8424)
41009,normal,normal,tensor(0.3909),tensor(0.5533)
50010,failure,failure,tensor(0.7495),tensor(0.9312)
