id,change_type,real_type,reason_score,solution_score
40009,normal,normal,tensor(0.8416),tensor(0.6702)
40012,normal,normal,tensor(1.0000),tensor(0.9478)
51009,normal,failure,tensor(0.9706),tensor(0.7686)
41009,normal,normal,tensor(1.),tensor(0.9540)
51011,failure,failure,tensor(0.7753),tensor(0.5070)
50012,normal,failure,tensor(0.8589),tensor(0.7789)
50003,failure,failure,tensor(0.7579),tensor(0.7445)
41011,normal,normal,tensor(1.0000),tensor(0.9602)
40005,normal,normal,tensor(0.9860),tensor(0.9824)
50011,failure,failure,tensor(0.6539),tensor(0.7060)
41010,normal,normal,tensor(1.),tensor(0.9602)
51013,failure,failure,tensor(0.7762),tensor(0.8832)
40003,normal,normal,tensor(1.0000),tensor(0.9602)
51012,failure,failure,tensor(0.7365),tensor(0.6365)
40008,normal,normal,tensor(1.),tensor(0.9602)
50004,normal,failure,tensor(0.9325),tensor(0.7789)
40013,normal,normal,tensor(0.9786),tensor(0.9491)
50008,failure,failure,tensor(0.9063),tensor(0.9087)
41012,normal,normal,tensor(1.0000),tensor(0.9490)
50010,failure,failure,tensor(0.8527),tensor(0.6922)
41013,normal,normal,tensor(0.3488),tensor(0.4363)
40011,normal,normal,tensor(1.0000),tensor(0.9602)
40007,normal,normal,tensor(0.3471),tensor(0.4363)
51010,failure,failure,tensor(0.8931),tensor(0.7324)
40004,normal,normal,tensor(1.),tensor(0.9490)
40010,normal,normal,tensor(0.9380),tensor(0.6210)
40006,normal,normal,tensor(0.4063),tensor(0.5780)
50013,normal,failure,tensor(0.9451),tensor(0.8193)
50005,failure,failure,tensor(0.7222),tensor(0.8208)
50006,failure,failure,tensor(0.9000),tensor(0.9291)
50007,failure,failure,tensor(0.9292),tensor(0.9139)
50009,failure,failure,tensor(0.9506),tensor(0.9906)
