id,change_type,real_type,reason_score,solution_score
40011,normal,normal,tensor(0.3485),tensor(0.5780)
51010,failure,failure,tensor(0.3991),tensor(0.4815)
50009,failure,failure,tensor(0.6156),tensor(0.5921)
41011,normal,normal,tensor(0.9946),tensor(0.9490)
40009,normal,normal,tensor(0.9444),tensor(0.6210)
41013,normal,normal,tensor(0.2533),tensor(0.5780)
40003,normal,normal,tensor(0.2916),tensor(0.4136)
40007,normal,normal,tensor(1.0000),tensor(0.9602)
40004,normal,normal,tensor(0.2243),tensor(0.3989)
50010,failure,failure,tensor(0.9771),tensor(0.7760)
51011,failure,failure,tensor(0.8439),tensor(0.9610)
51013,failure,failure,tensor(0.4079),tensor(0.5472)
50005,failure,failure,tensor(0.6447),tensor(0.6698)
40012,normal,normal,tensor(0.2383),tensor(0.3495)
50004,failure,failure,tensor(0.2651),tensor(0.2880)
40006,normal,normal,tensor(1.0000),tensor(0.9490)
41010,normal,normal,tensor(0.3118),tensor(0.5533)
41009,normal,normal,tensor(0.3475),tensor(0.5780)
50003,failure,failure,tensor(0.2145),tensor(0.3533)
51012,failure,failure,tensor(0.7588),tensor(0.8497)
50013,normal,failure,tensor(0.1913),tensor(0.1023)
40010,normal,normal,tensor(0.3604),tensor(0.4363)
50006,failure,failure,tensor(0.8545),tensor(0.8372)
50008,failure,failure,tensor(0.8039),tensor(0.8163)
50012,failure,failure,tensor(0.7419),tensor(0.8560)
51009,failure,failure,tensor(0.7242),tensor(0.8026)
50007,failure,failure,tensor(0.4806),tensor(0.5100)
50011,failure,failure,tensor(0.3620),tensor(0.3897)
40008,normal,normal,tensor(0.2651),tensor(0.4136)
41012,normal,normal,tensor(0.8066),tensor(0.6702)
40005,normal,normal,tensor(0.1978),tensor(0.2293)
40013,normal,normal,tensor(0.3542),tensor(0.5780)
