id,change_type,real_type,reason_score,solution_score
40003,normal,normal,tensor(1.0000),tensor(0.9540)
50007,failure,failure,tensor(0.9736),tensor(0.8674)
50012,failure,failure,tensor(1.),tensor(0.9745)
40004,normal,normal,tensor(0.9414),tensor(0.9540)
40009,normal,normal,tensor(1.),tensor(0.9540)
40010,normal,normal,tensor(1.0000),tensor(0.9540)
40006,normal,normal,tensor(1.0000),tensor(0.9540)
51010,failure,failure,tensor(0.9763),tensor(0.9851)
40012,normal,normal,tensor(1.0000),tensor(0.9540)
50013,failure,failure,tensor(0.9628),tensor(0.9836)
50009,failure,failure,tensor(1.),tensor(0.9868)
41009,normal,normal,tensor(0.8307),tensor(0.9540)
40013,normal,normal,tensor(1.0000),tensor(0.9540)
41013,normal,normal,tensor(0.9644),tensor(0.9540)
51011,failure,failure,tensor(0.9432),tensor(0.9545)
40008,normal,normal,tensor(1.0000),tensor(0.9602)
40007,normal,normal,tensor(1.),tensor(0.9540)
50010,failure,failure,tensor(1.),tensor(0.9861)
41011,normal,normal,tensor(0.8094),tensor(0.9540)
50003,failure,failure,tensor(1.0000),tensor(0.9760)
40011,normal,normal,tensor(1.0000),tensor(0.9540)
41010,normal,normal,tensor(0.8750),tensor(0.9540)
41012,normal,normal,tensor(0.9811),tensor(0.9540)
50004,failure,failure,tensor(1.0000),tensor(0.9875)
50008,failure,failure,tensor(0.9577),tensor(0.9788)
50011,failure,failure,tensor(0.8444),tensor(0.7290)
50005,failure,failure,tensor(0.9281),tensor(0.9198)
50006,failure,failure,tensor(1.0000),tensor(0.9844)
40005,normal,normal,tensor(1.0000),tensor(0.9540)
51013,failure,failure,tensor(0.9838),tensor(0.9877)
51012,failure,failure,tensor(0.9969),tensor(0.9753)
51009,failure,failure,tensor(0.9591),tensor(0.9633)
