id,ft
51009,Start string not found.
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Start string not found.
50003,Resource Contention-Defective Software Changes
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Resource Contention-Defective Software Changes
50004,Start string not found.
50008,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Network Traffic
50007,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
