id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.3375),tensor(0.2957)
50005,failure,failure,tensor(0.2518),tensor(0.2690)
41012,normal,normal,tensor(0.8334),tensor(0.7188)
40008,normal,normal,tensor(0.2561),tensor(0.5338)
50007,failure,failure,tensor(0.2674),tensor(0.3580)
50004,failure,failure,tensor(0.2022),tensor(0.0946)
40012,normal,normal,tensor(0.2105),tensor(0.3989)
50010,failure,failure,tensor(0.2168),tensor(0.4748)
51013,failure,failure,tensor(0.2686),tensor(0.3470)
50011,failure,failure,tensor(0.1333),tensor(0.1349)
51009,failure,failure,tensor(0.2269),tensor(0.3933)
50012,failure,failure,tensor(0.1550),tensor(0.0905)
50008,failure,failure,tensor(0.2171),tensor(0.1785)
40007,normal,normal,tensor(0.2303),tensor(0.3989)
40003,normal,normal,tensor(0.2105),tensor(0.3989)
41009,normal,normal,tensor(0.2005),tensor(0.4404)
50009,failure,failure,tensor(0.3146),tensor(0.2504)
51010,failure,failure,tensor(0.5808),tensor(0.6856)
41010,normal,normal,tensor(0.5171),tensor(0.5754)
40004,normal,normal,tensor(0.2201),tensor(0.4136)
40013,normal,normal,tensor(0.2105),tensor(0.4136)
50013,failure,failure,tensor(0.1416),tensor(0.2242)
40005,normal,normal,tensor(0.2983),tensor(0.3989)
40006,normal,normal,tensor(0.2394),tensor(0.4136)
51011,failure,failure,tensor(0.2369),tensor(0.3070)
40010,normal,normal,tensor(0.2764),tensor(0.3989)
50006,failure,failure,tensor(0.3022),tensor(0.3802)
50003,failure,failure,tensor(0.2211),tensor(0.2865)
41013,normal,normal,tensor(0.2130),tensor(0.4136)
40009,normal,normal,tensor(0.3909),tensor(0.4722)
41011,normal,normal,tensor(0.2105),tensor(0.3989)
40011,normal,normal,tensor(0.2105),tensor(0.4136)
