数据集名称,异常情况,指标名称
e65657183cb0767054e43e834762fcaf,出现异常,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} / 1048576"
9201d1cd756a9806afbea36657786c0d,出现异常,GetSupervisorPosition success
a12a3588ce6e1070ca3dd19d3b8acf4c,出现异常,Response=<:MAP:>
62920d13ca9ff31950a65b98312bcfe0,出现异常,<:list modules:>
e937d159618b42e3d8ca2cad01913f7e,出现异常,svc.ApproveCallback failed
10dca4ef6b662d975315d2928b43b99b,出现异常,"irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} [1m]) * 100"
a47f48821fc1ffe7057a87438b541bec,出现异常,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
853015ced4aeeb33a38c6866d33110a3,出现异常,<:REQ:>
e476d2894bb5e9819c8fefb74ac0d59f,正常,approve status error
6300af06fd5be620cb7ab2f3b3d2c52c,出现异常,parseDataReportFlag ok
ad921d60486366258809553a3db49a4a,出现异常,unknown
2ce5ac45d4275008d857abb5385cf1b3,出现异常,getPermTagsAndValues <:*:>
c1066526e3b973229933e0fb9d037bbf,出现异常,approve callback start
ce08cf4f6a573556e44efd5992b77721,出现异常,rego exec input:<:MAP:>
acc9b27a031b8d0328379149f0dfaff9,出现异常,DeleteFieldValues <:REQ:>
a4a58c952a98e5616e4e5acf3cc4a933,出现异常,no need or no have tags
e4aa88345de77d0282de38d940b97037,出现异常,<:staticStrategies:>
ba7e4d879f5b61c48192f115c8423009,出现异常,getDept success
addb8708ca4d6be7f10fb32c51d26c4b,出现异常,ClientEnvHandler is <:*:>
79670a4f612c2757f4a0cb6c2045e87f,出现异常,"(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100"
cb12e6d152c39675bebadcf33887e185,出现异常,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
f128e17cfd250649baef37f04d6c19b9,出现异常,get metadata from header
e581ed71184cf3824c407c0bc2a9b9ee,出现异常,"sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
6326114b91842880149e9876a90e7bca,出现异常,superiorAndDeputy empty
7023eefc5d78a5c7551373c93600b099,出现异常,infra.grpc.invoker
b1bd7c01c3ef58909e115c5936d39ad0,出现异常,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
3415e4bc823ff9c472ee313e2c790cf9,出现异常,parse metadata
86f7a498f0e14e05c5b4c7cc9c4beea1,出现异常,"1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-81-5778cb86bf-tmvfd"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)"
4b20aff7926272178b85218712b15cc7,正常,<:GIN:>
8df10c3d5b13f5e9968401e99475aa04,出现异常,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
aedcea2b95e6a07cb77a9a0da350ab7f,出现异常,loaded policy count:<:NUM:>
da340877fa5ea2f1c201aedfc91d22bc,出现异常,computeDeptMembersObjectIDs end
96083cc4cec914fa215aec6db9ebaef6,出现异常,Depts only have yunzhanghu
190fec651a741dc908508ed5a84bb5e6,出现异常,build <:*:>
6ad2d13248c5eddd35b3dbb2c1dd6a53,出现异常,loadRegoMySQLInterval success
f7476bd3fe04aebf0cb3321a3b0e02b2,出现异常,"sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
001af3fb6b4d143bcf025ea210b71ead,出现异常,getBackupEmp success
19930931b560277fcf06ecc09f41e752,出现异常,AuthListByName <:<:ChineseInfo:>:>
5e0cf0fa2956ad7395caae46732f5151,出现异常,computeOwnObjectIDs end
78e731027d8fd50ed642340b7c9a63b3,出现异常,message
