csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30
14f5c6ab5f12b64d8e312606940507e2,2024-04-20 02:22:01,106.0,106.0,105.0,107.0,107.0,107.0,105.0,107.0,106.0,106.0,107.0,106.0,105.0,105.0,106.0,108.0,105.0,106.0,106.0,106.0,106.0,105.0,107.0,107.0,105.0,106.0,106.0,105.0,106.0,106.0
14f5c6ab5f12b64d8e312606940507e2,2024-04-20 03:32:01,106.0,105.0,106.0,106.0,106.0,106.0,106.0,107.0,107.0,107.0,105.0,106.0,106.0,105.0,107.0,108.0,107.0,105.0,107.0,105.0,106.0,106.0,107.0,106.0,107.0,105.0,106.0,105.0,105.0,105.0
14f5c6ab5f12b64d8e312606940507e2,2024-04-20 07:14:01,106.0,107.0,105.0,106.0,107.0,107.0,106.0,106.0,105.0,106.0,107.0,106.0,106.0,107.0,105.0,108.0,106.0,105.0,107.0,107.0,106.0,107.0,105.0,105.0,106.0,107.0,106.0,105.0,105.0,107.0
14f5c6ab5f12b64d8e312606940507e2,2024-04-20 09:56:01,107.0,107.0,106.0,106.0,106.0,107.0,106.0,105.0,105.0,107.0,107.0,105.0,105.0,106.0,106.0,108.0,105.0,106.0,107.0,107.0,105.0,105.0,107.0,105.0,106.0,105.0,105.0,106.0,107.0,107.0
14f5c6ab5f12b64d8e312606940507e2,2024-04-20 12:06:01,106.0,106.0,106.0,107.0,107.0,106.0,105.0,106.0,107.0,107.0,106.0,107.0,106.0,106.0,107.0,109.0,105.0,106.0,106.0,105.0,106.0,107.0,106.0,106.0,106.0,107.0,107.0,106.0,107.0,105.0
bfb428287ce622f974a6b51426276fea,2024-04-20 04:26:01,0.0012666666647419,0.000466666665549,0.0009999999970508,0.000466666665549,0.0010666666668839,0.000466666665549,0.0004000000034769,0.0010000000009313,0.0006000000013348,0.0014666666664804,0.0003333333336437,0.0010666666668839,0.0005999999974543,0.0006666666672875,0.0136666666677532,0.0006666666672875,0.0013333333306945,0.0003333333336437,0.0008666666651455,0.0003999999995964,0.0005333333353822,0.0014000000005277,0.000466666665549,0.0011999999987892,0.000466666665549,0.0005333333315017,0.0006666666672875,0.0003999999995964,0.0005333333315017,0.0007999999991928
bfb428287ce622f974a6b51426276fea,2024-04-20 23:58:01,0.0003333333336437,0.0011999999987892,0.0002666666638106,0.0005333333353822,0.0018000000001241,0.0002666666676911,0.0004000000034769,0.0026666666652696,0.002599999999317,0.0005333333315017,0.0006666666672875,0.0013999999966472,0.0020000000018626,0.0019999999979821,0.0018000000001241,0.0025333333333643,0.0007333333332402,0.0018000000001241,0.0005333333353822,0.0005333333315017,0.0012666666647419,0.0005333333315017,0.0007333333332402,0.0007333333332402,0.0049333333348234,0.0038666666640589,0.0001333333357858,0.0005999999974543,0.0005999999974543,0.0002666666676911
176d6361fabb3ebb6627d1eedf261d36,2024-04-20 06:48:01,11.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0
6be173c0101dd610442c3c7107f67156,2024-04-20 09:04:01,36590.93333333333,52428.8,8738.133333333333,8192.0,11468.8,45602.13333333333,37956.26666666667,55159.46666666667,22937.6,15291.733333333334,47240.53333333333,42598.4,45875.2,351709.86666666664,380928.0,738099.2,46967.46666666667,38229.333333333336,18841.6,6280.533333333334,37410.13333333333,12288.0,47513.6,45602.13333333333,44236.8,7372.8,41233.066666666666,36044.8,6007.466666666666,24029.866666666665
f783a8f31a766f26288bd8064822c94c,2024-04-20 03:22:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.466666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0bd017d167681bbec2efef0dfa54decb,2024-04-20 04:56:01,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666
0bd017d167681bbec2efef0dfa54decb,2024-04-20 13:38:01,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333
0bd017d167681bbec2efef0dfa54decb,2024-04-20 15:38:01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333
