id,ft
50005,Network Traffic
51011,Resource Contention-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Resource Contention-Defective Software Changes
50012,Wrong IP Address-Configuration Errors-Defective Software Changes
50003,Network Traffic
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51009,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50011,Network Traffic
51010,Resource Contention-Defective Software Changes
50007,Network Traffic
50010,Resource Contention-Defective Software Changes
