id,ft
51012,Network Traffic-Defective Software Changes
50005,Resource Contention-Defective Software Changes
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51013,Network Traffic
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
51009,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
51010,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
51011,Resource Contention-Defective Software Changes
50006,Network Traffic
50003,Resource Contention-Defective Software Changes
